Latitude,Longitude,Title,Description,Cluster
23.28694,-106.40863,OXXO VENADO CUL,OXXO,0
23.27714204,-106.4300612,ley REAL PACIFICO,LEY,0
23.28393,-106.41066,fruteria ALICIA 506 BUROCRATAS,FRUTERIA ALICIA,0
23.28752,-106.42242,KIOSKO MZT 4183 HACIENDA DEL SEMINARIO,KIOSKO,0
23.2672,-106.4105,KIOSKO MZT 4114 JABALIES,KIOSKO,0
23.2672,-106.4105,KIOSKO MZT ALARCON ,KIOSKO,0
23.28577,-106.42236,abarrote Hacienda san juan hacienda seminario,efectivo,0
23.27201,-106.43055,abarrote doña silvia ,efectivo,0
23.28128,-106.43063,KIOSKO MZT 4172 REAL DEL VALLE 2,KIOSKO,0
23.27393,-106.41917,OXXO SENDERO CUL,OXXO,0
23.27621,-106.40364,OXXO GARCIA CUL,OXXO,0
23.28203,-106.4308,OXXO ATLANTICO CUL,OXXO,0
23.28252,-106.431,KIOSKO MZT 4106 REAL DEL VALLE,KIOSKO,0
23.28243,-106.431,minisuper jj,efectivo,0
23.27272,-106.43113,tacos baja,efectivo,0
23.27257,-106.43135,abarrote liliana,efectivo,0
23.28293,-106.43143,fruteria tutti fruti,efectivo,0
23.25878,-106.40965,OXXO LOS PORTALES CUL,OXXO,0
23.28394,-106.43163,pescaderia delfin,efectivo,0
23.25911,-106.4087,ley VALLE DORADO,LEY,0
23.28454,-106.4317,mariscos del mar,efectivo,0
23.26965,-106.40845,abarrote mi porvenir,efectivo,0
23.26964,-106.40836,abarrote ximena ,efectivo,0
23.26796,-106.40834,pollería nena,efectivo,0
23.26793,-106.41087,pescaderia delfin alarcon,efectivo,0
23.26951,-106.4109,frutería el regalo,efectivo,0
23.29025,-106.41887,super escorpio,efectivo,0
23.26755,-106.41131,OXXO ALARCON CUL,OXXO,0
23.2604,-106.41585,OXXO VENNETO,OXXO,0
23.26271,-106.41694,OXXO CORREDOR DE ABASTOS CUL,OXXO,0
23.26707,-106.42542,cremeria y fruteria prados,efectivo,0
23.267,-106.42546,abarrotes prados,efectivo,0
23.26307,-106.41519,KIOSKO MZT 4110 LA JOYA,KIOSKO,0
23.25879,-106.41501,abarrote suheid,efectivo,0
23.27561,-106.42614,f pavel,efectivo,0
23.26558,-106.4238,OXXO PRADOS CUL,OXXO,0
23.27864,-106.41482,KIOSKO MZT 4176 INTERNACIONAL,KIOSKO,0
23.27283,-106.41475,OXXO LIBRAMIENTO II CUL,OXXO,0
23.27299,-106.41471,DULCERIA VALDEZ MATRIZ OF ,DULCERIA VALDEZ,0
23.27519,-106.43372,OXXO SANTACRUZ CUL,OXXO,0
23.27622,-106.42687,OXXO VILLAREAL CUL,OXXO,0
23.34952,-106.41336,OXXO EL HABAL CUL,OXXO,0
23.25901,-106.4126,abarrote mary ,efectivo,0
23.27541,-106.42772,KIOSKO MZT 4126 SAN GUILLERMO,KIOSKO,0
23.27204,-106.41822,Dulceria VALDEZ OSCAR PEREZ,DULCERIA VALDEZ,0
23.28557,-106.42832,OXXO Coto 12 CUL,OXXO,0
23.2781,-106.40149,KIOSKO MZT 4109 LIBRAMIENTO 3,KIOSKO,0
23.26217,-106.42294,KIOSKO MZT 4148 PRADOS DEL SOL,KIOSKO,0
23.26485,-106.40168,KIOSKO MZT 4167 JARIPILLO,KIOSKO,0
23.2762,-106.42914,f diamante,efectivo,0
